financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
1997-98,QLD,Private hospitals,Non-government,Individuals,7
1997-98,QLD,Private hospitals,Non-government,Other non-government,188
1997-98,QLD,Private hospitals,Non-government,Private health insurance funds,689
1997-98,QLD,Public health,Government,Australian Government,68
1997-98,QLD,Public health,Government,State and local,87
1997-98,QLD,Public hospitals,Government,Australian Government,1610
1997-98,QLD,Public hospitals,Government,State and local,1749
1997-98,QLD,Public hospitals,Non-government,Individuals,20
1997-98,QLD,Public hospitals,Non-government,Other non-government,75
1997-98,QLD,Public hospitals,Non-government,Private health insurance funds,53
1997-98,QLD,Research,Government,Australian Government,97
1997-98,QLD,Research,Government,State and local,20
1997-98,QLD,Research,Non-government,Other non-government,27
1997-98,WA,Administration,Government,Australian Government,79
1997-98,WA,Administration,Government,State and local,308
1997-98,WA,Administration,Non-government,Private health insurance funds,74
1997-98,WA,Aids and appliances,Government,Australian Government,18
1997-98,WA,Aids and appliances,Non-government,Individuals,90
1997-98,WA,Aids and appliances,Non-government,Other non-government,4
1997-98,WA,Aids and appliances,Non-government,Private health insurance funds,18
1997-98,WA,All other medications,Government,Australian Government,1
1997-98,WA,All other medications,Non-government,Individuals,224
1997-98,WA,All other medications,Non-government,Other non-government,5
1997-98,WA,All other medications,Non-government,Private health insurance funds,3
1997-98,WA,Benefit-paid pharmaceuticals,Government,Australian Government,231
1997-98,WA,Benefit-paid pharmaceuticals,Non-government,Individuals,53
1997-98,WA,Capital expenditure,Government,Australian Government,5
1997-98,WA,Capital expenditure,Government,State and local,85
1997-98,WA,Capital expenditure,Non-government,Other non-government,249
1997-98,WA,Community health,Government,Australian Government,111
1997-98,WA,Community health,Government,State and local,209
1997-98,WA,Community health,Non-government,Private health insurance funds,0
1997-98,WA,Dental services,Government,Australian Government,19
1997-98,WA,Dental services,Government,State and local,53
1997-98,WA,Dental services,Non-government,Individuals,75
1997-98,WA,Dental services,Non-government,Other non-government,2
1997-98,WA,Dental services,Non-government,Private health insurance funds,136
1997-98,WA,Medical expense tax rebate,Government,Australian Government,15
1997-98,WA,Medical expense tax rebate,Non-government,Individuals,-15
1997-98,WA,Medical services,Government,Australian Government,1058
1997-98,WA,Medical services,Non-government,Individuals,109
1997-98,WA,Medical services,Non-government,Other non-government,89
1997-98,WA,Medical services,Non-government,Private health insurance funds,31
1997-98,WA,Other health practitioners,Government,Australian Government,33
1997-98,WA,Other health practitioners,Non-government,Individuals,64
1997-98,WA,Other health practitioners,Non-government,Other non-government,38
1997-98,WA,Other health practitioners,Non-government,Private health insurance funds,46
1997-98,WA,Patient transport services,Government,Australian Government,31
1997-98,WA,Patient transport services,Government,State and local,28
1997-98,WA,Patient transport services,Non-government,Individuals,2
1997-98,WA,Patient transport services,Non-government,Other non-government,4
1997-98,WA,Patient transport services,Non-government,Private health insurance funds,18
1997-98,WA,Private hospitals,Government,Australian Government,101
1997-98,WA,Private hospitals,Non-government,Individuals,26
1997-98,WA,Private hospitals,Non-government,Other non-government,93
1997-98,WA,Private hospitals,Non-government,Private health insurance funds,316
1997-98,WA,Public health,Government,Australian Government,36
1997-98,WA,Public health,Government,State and local,87
1997-98,WA,Public hospitals,Government,Australian Government,888
1997-98,WA,Public hospitals,Government,State and local,1058
1997-98,WA,Public hospitals,Non-government,Individuals,19
1997-98,WA,Public hospitals,Non-government,Other non-government,81
1997-98,WA,Public hospitals,Non-government,Private health insurance funds,41
1997-98,WA,Research,Government,Australian Government,64
1997-98,WA,Research,Government,State and local,10
1997-98,WA,Research,Non-government,Other non-government,14
1997-98,SA,Administration,Government,Australian Government,75
1997-98,SA,Administration,Government,State and local,117
1997-98,SA,Administration,Non-government,Private health insurance funds,90
1997-98,SA,Aids and appliances,Government,Australian Government,18
1997-98,SA,Aids and appliances,Non-government,Individuals,38
1997-98,SA,Aids and appliances,Non-government,Other non-government,3
1997-98,SA,Aids and appliances,Non-government,Private health insurance funds,19
1997-98,SA,All other medications,Government,Australian Government,2
1997-98,SA,All other medications,Non-government,Individuals,137
1997-98,SA,All other medications,Non-government,Other non-government,2
1997-98,SA,All other medications,Non-government,Private health insurance funds,3
1997-98,SA,Benefit-paid pharmaceuticals,Government,Australian Government,238
1997-98,SA,Benefit-paid pharmaceuticals,Non-government,Individuals,50
1997-98,SA,Capital expenditure,Government,Australian Government,6
1997-98,SA,Capital expenditure,Government,State and local,154
1997-98,SA,Capital expenditure,Non-government,Other non-government,87
1997-98,SA,Community health,Government,Australian Government,83
1997-98,SA,Community health,Government,State and local,22
1997-98,SA,Community health,Non-government,Private health insurance funds,0
1997-98,SA,Dental services,Government,Australian Government,14
1997-98,SA,Dental services,Government,State and local,45
1997-98,SA,Dental services,Non-government,Individuals,125
1997-98,SA,Dental services,Non-government,Other non-government,1
1997-98,SA,Dental services,Non-government,Private health insurance funds,86
1997-98,SA,Medical expense tax rebate,Government,Australian Government,12
1997-98,SA,Medical expense tax rebate,Non-government,Individuals,-12
1997-98,SA,Medical services,Government,Australian Government,848
1997-98,SA,Medical services,Non-government,Individuals,76
1997-98,SA,Medical services,Non-government,Other non-government,105
1997-98,SA,Medical services,Non-government,Private health insurance funds,33
1997-98,SA,Other health practitioners,Government,Australian Government,28
1997-98,SA,Other health practitioners,Non-government,Individuals,33
1997-98,SA,Other health practitioners,Non-government,Other non-government,26
1997-98,SA,Other health practitioners,Non-government,Private health insurance funds,40
1997-98,SA,Patient transport services,Government,Australian Government,19
1997-98,SA,Patient transport services,Government,State and local,29
1997-98,SA,Patient transport services,Non-government,Individuals,36
1997-98,SA,Patient transport services,Non-government,Other non-government,8
1997-98,SA,Patient transport services,Non-government,Private health insurance funds,5
1997-98,SA,Private hospitals,Government,Australian Government,44
1997-98,SA,Private hospitals,Non-government,Individuals,13
1997-98,SA,Private hospitals,Non-government,Other non-government,41
1997-98,SA,Private hospitals,Non-government,Private health insurance funds,308
1997-98,SA,Public health,Government,Australian Government,32
1997-98,SA,Public health,Government,State and local,39
1997-98,SA,Public hospitals,Government,Australian Government,950
1997-98,SA,Public hospitals,Government,State and local,683
1997-98,SA,Public hospitals,Non-government,Individuals,8
1997-98,SA,Public hospitals,Non-government,Other non-government,29
1997-98,SA,Public hospitals,Non-government,Private health insurance funds,31
1997-98,SA,Research,Government,Australian Government,75
1997-98,SA,Research,Government,State and local,14
1997-98,SA,Research,Non-government,Other non-government,20
1997-98,TAS,Administration,Government,Australian Government,21
1997-98,TAS,Administration,Government,State and local,7
1997-98,TAS,Administration,Non-government,Private health insurance funds,22
1997-98,TAS,Aids and appliances,Government,Australian Government,5
1997-98,TAS,Aids and appliances,Non-government,Individuals,28
1997-98,TAS,Aids and appliances,Non-government,Other non-government,1
1997-98,TAS,Aids and appliances,Non-government,Private health insurance funds,6
1997-98,TAS,All other medications,Government,Australian Government,1
1997-98,TAS,All other medications,Non-government,Individuals,64
1997-98,TAS,All other medications,Non-government,Other non-government,1
1997-98,TAS,All other medications,Non-government,Private health insurance funds,1
1997-98,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,81
1997-98,TAS,Benefit-paid pharmaceuticals,Non-government,Individuals,16
1997-98,TAS,Capital expenditure,Government,Australian Government,2
1997-98,TAS,Capital expenditure,Government,State and local,15
1997-98,TAS,Capital expenditure,Non-government,Other non-government,29
1997-98,TAS,Community health,Government,Australian Government,23
1997-98,TAS,Community health,Government,State and local,194
1997-98,TAS,Community health,Non-government,Private health insurance funds,0
1997-98,TAS,Dental services,Government,Australian Government,4
1997-98,TAS,Dental services,Government,State and local,38
1997-98,TAS,Dental services,Non-government,Individuals,32
1997-98,TAS,Dental services,Non-government,Other non-government,0
1997-98,TAS,Dental services,Non-government,Private health insurance funds,20
1997-98,TAS,Medical expense tax rebate,Government,Australian Government,3
1997-98,TAS,Medical expense tax rebate,Non-government,Individuals,-3
1997-98,TAS,Medical services,Government,Australian Government,263
1997-98,TAS,Medical services,Non-government,Individuals,35
1997-98,TAS,Medical services,Non-government,Other non-government,23
1997-98,TAS,Medical services,Non-government,Private health insurance funds,9
1997-98,TAS,Other health practitioners,Government,Australian Government,11
1997-98,TAS,Other health practitioners,Non-government,Individuals,21
1997-98,TAS,Other health practitioners,Non-government,Other non-government,13
1997-98,TAS,Other health practitioners,Non-government,Private health insurance funds,7
1997-98,TAS,Patient transport services,Government,Australian Government,2
1997-98,TAS,Patient transport services,Government,State and local,18
1997-98,TAS,Patient transport services,Non-government,Individuals,0
1997-98,TAS,Patient transport services,Non-government,Other non-government,1
1997-98,TAS,Patient transport services,Non-government,Private health insurance funds,0
1997-98,TAS,Private hospitals,Government,Australian Government,25
1997-98,TAS,Private hospitals,Non-government,Individuals,39
1997-98,TAS,Private hospitals,Non-government,Other non-government,16
1997-98,TAS,Private hospitals,Non-government,Private health insurance funds,100
1997-98,TAS,Public health,Government,Australian Government,13
1997-98,TAS,Public health,Government,State and local,12
1997-98,TAS,Public hospitals,Government,Australian Government,255
1997-98,TAS,Public hospitals,Government,State and local,137
1997-98,TAS,Public hospitals,Non-government,Individuals,0
1997-98,TAS,Public hospitals,Non-government,Other non-government,38
1997-98,TAS,Public hospitals,Non-government,Private health insurance funds,9
1997-98,TAS,Research,Government,Australian Government,9
1997-98,TAS,Research,Government,State and local,1
1997-98,TAS,Research,Non-government,Other non-government,2
1997-98,ACT,Administration,Government,Australian Government,43
1997-98,ACT,Administration,Government,State and local,37
1997-98,ACT,Aids and appliances,Government,Australian Government,3
1997-98,ACT,Aids and appliances,Non-government,Individuals,13
1997-98,ACT,Aids and appliances,Non-government,Other non-government,1
1997-98,ACT,All other medications,Government,Australian Government,8
1997-98,ACT,All other medications,Non-government,Individuals,28
1997-98,ACT,All other medications,Non-government,Other non-government,1
1997-98,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,35
1997-98,ACT,Benefit-paid pharmaceuticals,Non-government,Individuals,10
1997-98,ACT,Capital expenditure,Government,Australian Government,7
1997-98,ACT,Capital expenditure,Government,State and local,14
1997-98,ACT,Capital expenditure,Non-government,Other non-government,11
1997-98,ACT,Community health,Government,Australian Government,7
1997-98,ACT,Community health,Government,State and local,13
1997-98,ACT,Dental services,Government,Australian Government,1
1997-98,ACT,Dental services,Government,State and local,7
1997-98,ACT,Dental services,Non-government,Individuals,62
1997-98,ACT,Dental services,Non-government,Other non-government,0
1997-98,ACT,Medical expense tax rebate,Government,Australian Government,6
1997-98,ACT,Medical expense tax rebate,Non-government,Individuals,-6
1997-98,ACT,Medical services,Government,Australian Government,172
1997-98,ACT,Medical services,Non-government,Individuals,58
1997-98,ACT,Medical services,Non-government,Other non-government,22
1997-98,ACT,Other health practitioners,Government,Australian Government,4
1997-98,ACT,Other health practitioners,Non-government,Individuals,29
1997-98,ACT,Other health practitioners,Non-government,Other non-government,11
1997-98,ACT,Patient transport services,Government,Australian Government,0
1997-98,ACT,Patient transport services,Government,State and local,7
1997-98,ACT,Patient transport services,Non-government,Individuals,0
1997-98,ACT,Patient transport services,Non-government,Other non-government,1
1997-98,ACT,Private hospitals,Government,Australian Government,7
1997-98,ACT,Private hospitals,Non-government,Individuals,26
1997-98,ACT,Private hospitals,Non-government,Other non-government,15
1997-98,ACT,Private hospitals,Non-government,Private health insurance funds,42
1997-98,ACT,Public health,Government,Australian Government,9
1997-98,ACT,Public health,Government,State and local,5
1997-98,ACT,Public hospitals,Government,Australian Government,147
1997-98,ACT,Public hospitals,Government,State and local,220
1997-98,ACT,Public hospitals,Non-government,Individuals,0
1997-98,ACT,Public hospitals,Non-government,Other non-government,21
1997-98,ACT,Public hospitals,Non-government,Private health insurance funds,13
1997-98,ACT,Research,Government,Australian Government,50
1997-98,ACT,Research,Government,State and local,5
1997-98,ACT,Research,Non-government,Other non-government,8
1997-98,NT,Administration,Government,Australian Government,10
1997-98,NT,Administration,Government,State and local,20
1997-98,NT,Administration,Non-government,Private health insurance funds,4
1997-98,NT,Aids and appliances,Government,Australian Government,2
1997-98,NT,Aids and appliances,Non-government,Individuals,5
1997-98,NT,Aids and appliances,Non-government,Other non-government,2
1997-98,NT,Aids and appliances,Non-government,Private health insurance funds,1
1997-98,NT,All other medications,Government,Australian Government,0
1997-98,NT,All other medications,Government,State and local,2
1997-98,NT,All other medications,Non-government,Individuals,11
1997-98,NT,All other medications,Non-government,Other non-government,0
1997-98,NT,All other medications,Non-government,Private health insurance funds,0
1997-98,NT,Benefit-paid pharmaceuticals,Government,Australian Government,10
1997-98,NT,Benefit-paid pharmaceuticals,Non-government,Individuals,3
1997-98,NT,Capital expenditure,Government,Australian Government,1
1997-98,NT,Capital expenditure,Government,State and local,6
1997-98,NT,Capital expenditure,Non-government,Other non-government,2
1997-98,NT,Community health,Government,Australian Government,49
1997-98,NT,Community health,Government,State and local,186
1997-98,NT,Community health,Non-government,Private health insurance funds,0
1997-98,NT,Dental services,Government,Australian Government,0
1997-98,NT,Dental services,Government,State and local,9
1997-98,NT,Dental services,Non-government,Individuals,9
1997-98,NT,Dental services,Non-government,Other non-government,0
1997-98,NT,Dental services,Non-government,Private health insurance funds,3
1997-98,NT,Medical expense tax rebate,Government,Australian Government,1
1997-98,NT,Medical expense tax rebate,Non-government,Individuals,-1
1997-98,NT,Medical services,Government,Australian Government,62
1997-98,NT,Medical services,Non-government,Individuals,12
1997-98,NT,Medical services,Non-government,Other non-government,10
1997-98,NT,Medical services,Non-government,Private health insurance funds,2
1997-98,NT,Other health practitioners,Government,Australian Government,2
1997-98,NT,Other health practitioners,Non-government,Individuals,11
1997-98,NT,Other health practitioners,Non-government,Other non-government,3
1997-98,NT,Other health practitioners,Non-government,Private health insurance funds,1
1997-98,NT,Patient transport services,Government,Australian Government,4
1997-98,NT,Patient transport services,Government,State and local,0
1997-98,NT,Patient transport services,Non-government,Individuals,1
1997-98,NT,Patient transport services,Non-government,Other non-government,1
1997-98,NT,Patient transport services,Non-government,Private health insurance funds,0
1997-98,NT,Private hospitals,Government,Australian Government,2
1997-98,NT,Private hospitals,Non-government,Individuals,1
1997-98,NT,Private hospitals,Non-government,Other non-government,5
1997-98,NT,Private hospitals,Non-government,Private health insurance funds,16
1997-98,NT,Public health,Government,Australian Government,10
1997-98,NT,Public health,Government,State and local,45
1997-98,NT,Public hospitals,Government,Australian Government,134
1997-98,NT,Public hospitals,Government,State and local,89
1997-98,NT,Public hospitals,Non-government,Individuals,0
1997-98,NT,Public hospitals,Non-government,Other non-government,23
1997-98,NT,Public hospitals,Non-government,Private health insurance funds,1
1997-98,NT,Research,Government,Australian Government,5
1997-98,NT,Research,Government,State and local,3
1997-98,NT,Research,Non-government,Other non-government,4
1998-99,NSW,Administration,Government,Australian Government,306
1998-99,NSW,Administration,Government,State and local,0
1998-99,NSW,Administration,Non-government,Private health insurance funds,279
1998-99,NSW,Aids and appliances,Government,Australian Government,67
1998-99,NSW,Aids and appliances,Non-government,Individuals,339
1998-99,NSW,Aids and appliances,Non-government,Other non-government,33
1998-99,NSW,Aids and appliances,Non-government,Private health insurance funds,69
1998-99,NSW,All other medications,Government,Australian Government,8
1998-99,NSW,All other medications,Non-government,Individuals,734
1998-99,NSW,All other medications,Non-government,Other non-government,26
1998-99,NSW,All other medications,Non-government,Private health insurance funds,15
1998-99,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1155
1998-99,NSW,Benefit-paid pharmaceuticals,Non-government,Individuals,231
1998-99,NSW,Capital expenditure,Government,Australian Government,31
1998-99,NSW,Capital expenditure,Government,State and local,255
1998-99,NSW,Capital expenditure,Non-government,Other non-government,554
1998-99,NSW,Community health,Government,Australian Government,187
1998-99,NSW,Community health,Government,State and local,1274
1998-99,NSW,Community health,Non-government,Individuals,47
1998-99,NSW,Community health,Non-government,Other non-government,60
1998-99,NSW,Community health,Non-government,Private health insurance funds,0
1998-99,NSW,Dental services,Government,Australian Government,115
1998-99,NSW,Dental services,Government,State and local,123
1998-99,NSW,Dental services,Non-government,Individuals,945
1998-99,NSW,Dental services,Non-government,Other non-government,12
1998-99,NSW,Dental services,Non-government,Private health insurance funds,318
1998-99,NSW,Medical expense tax rebate,Government,Australian Government,92
1998-99,NSW,Medical expense tax rebate,Non-government,Individuals,-92
1998-99,NSW,Medical services,Government,Australian Government,4361
1998-99,NSW,Medical services,Non-government,Individuals,543
1998-99,NSW,Medical services,Non-government,Other non-government,370
1998-99,NSW,Medical services,Non-government,Private health insurance funds,101
1998-99,NSW,Other health practitioners,Government,Australian Government,151
1998-99,NSW,Other health practitioners,Non-government,Individuals,471
1998-99,NSW,Other health practitioners,Non-government,Other non-government,147
1998-99,NSW,Other health practitioners,Non-government,Private health insurance funds,109
1998-99,NSW,Patient transport services,Government,Australian Government,38
1998-99,NSW,Patient transport services,Government,State and local,117
1998-99,NSW,Patient transport services,Non-government,Individuals,17
1998-99,NSW,Patient transport services,Non-government,Other non-government,37
1998-99,NSW,Patient transport services,Non-government,Private health insurance funds,66
1998-99,NSW,Private hospitals,Government,Australian Government,444
1998-99,NSW,Private hospitals,Non-government,Individuals,33
1998-99,NSW,Private hospitals,Non-government,Other non-government,310
1998-99,NSW,Private hospitals,Non-government,Private health insurance funds,833
1998-99,NSW,Public health,Government,Australian Government,165
1998-99,NSW,Public health,Government,State and local,78
1998-99,NSW,Public health,Non-government,Individuals,2
1998-99,NSW,Public health,Non-government,Other non-government,69
1998-99,NSW,Public hospitals,Government,Australian Government,3410
1998-99,NSW,Public hospitals,Government,State and local,4204
1998-99,NSW,Public hospitals,Non-government,Individuals,227
1998-99,NSW,Public hospitals,Non-government,Other non-government,321
1998-99,NSW,Public hospitals,Non-government,Private health insurance funds,175
1998-99,NSW,Research,Government,Australian Government,208
1998-99,NSW,Research,Government,State and local,57
1998-99,NSW,Research,Non-government,Other non-government,54
1998-99,VIC,Administration,Government,Australian Government,195
1998-99,VIC,Administration,Non-government,Private health insurance funds,172
1998-99,VIC,Aids and appliances,Government,Australian Government,43
1998-99,VIC,Aids and appliances,Non-government,Individuals,363
1998-99,VIC,Aids and appliances,Non-government,Other non-government,16
1998-99,VIC,Aids and appliances,Non-government,Private health insurance funds,25
1998-99,VIC,All other medications,Government,Australian Government,5
1998-99,VIC,All other medications,Non-government,Individuals,678
1998-99,VIC,All other medications,Non-government,Other non-government,15
1998-99,VIC,All other medications,Non-government,Private health insurance funds,3
1998-99,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,781
1998-99,VIC,Benefit-paid pharmaceuticals,Non-government,Individuals,158
1998-99,VIC,Capital expenditure,Government,Australian Government,24
1998-99,VIC,Capital expenditure,Government,State and local,259
1998-99,VIC,Capital expenditure,Non-government,Other non-government,402
1998-99,VIC,Community health,Government,Australian Government,116
1998-99,VIC,Community health,Government,State and local,387
1998-99,VIC,Community health,Non-government,Individuals,19
1998-99,VIC,Community health,Non-government,Private health insurance funds,0
1998-99,VIC,Dental services,Government,Australian Government,52
1998-99,VIC,Dental services,Government,State and local,82
1998-99,VIC,Dental services,Non-government,Individuals,974
1998-99,VIC,Dental services,Non-government,Other non-government,1
1998-99,VIC,Dental services,Non-government,Private health insurance funds,127
1998-99,VIC,Medical expense tax rebate,Government,Australian Government,60
1998-99,VIC,Medical expense tax rebate,Non-government,Individuals,-60
1998-99,VIC,Medical services,Government,Australian Government,3009
1998-99,VIC,Medical services,Non-government,Individuals,383
1998-99,VIC,Medical services,Non-government,Other non-government,133
1998-99,VIC,Medical services,Non-government,Private health insurance funds,92
1998-99,VIC,Other health practitioners,Government,Australian Government,104
1998-99,VIC,Other health practitioners,Non-government,Individuals,577
